donation_id,img_src,item,donor_id,dedi_id,inscription,lat,lon,icon,state_champ,arbor_note
146,LC_146.png,Weeping Cherry (Prunus subhirtella pendula),,Elise Kemp Schmitz '54,,40.026488,-75.313913,tree,no,333
147,LC_147.png,Weeping Cherry (Prunus subhirtella pendula),,"Gridley McKim-Smith, Prof. of History of Art",,40.02633,-75.314228,tree,no,337
148,LC_148.png,Blue Spruce (Picea pungens),Class of 1960,Honor of Cynthia Secor '60 and her mother Bernice Secor,,40.025947,-75.311738,tree,no,591
149,LC_149.png,Elm (Ulmus glabra),,,,40.024842,-75.313234,tree,yes,720
150,LC_125.png,Beech (Fagus sylvatica 'Atropunicea'),,,,40.02817,-75.315087,tree,yes,383
151,LC_151.png,Prunus avium (Mazzard Cherry),,,,40.02765,-75.315122,tree,yes,372
152,LC_152.png,Phellodendron amurense (Amur corktree),,,,40.02714,-75.315381,tree,yes,361
153,LC_153.png,Weeping Hemlock (Tsuga canadensis 'Pendula'),,,,40.02611,-75.314161,tree,yes,344
154,LC_154.png,Ginkgo biloba (Maidenhair tree),,,,40.024612,-75.314133,tree,yes,665
155,LC_155.png,Paperbark Maple (Acer griseum),,Steve Z. Levine,Professor of History of Art and Leslie Clark Professor in the Humanities,40.02937,-75.3156,tree,no,1284
156,LC_156.png,Nancy Vickers Garden,,Nancy Vickers,,40.027034,-75.315806,object,no ,
157,LC_157.png,Bench,Alumnae Relations and Development Colleagues,Linda ten Boom,In loving memory of Linda ten Boom <br> Our dear friend and colleague for 20 years of loyalth and dedication to Bryn Mawr College,40.0261,-75.3125,object,no,
158,,Moveable Chair,Friends of Ellis Avery '93,Ellis Avery '93,"Leaves gather, embrace the winter ground. Each year lays down fresh kisses.",0,0,object,no,
159,,Moveable Chair,Friends of Ellis Avery '93,Ellis Avery '93,"Ellis Avery '93: Poet, Author, Scientist and Dear Friend. <br>We will always hold you in our hearts.",0,0,object,no,
160,,Cloisters Bench,Manning Award,"Mabel Lang, PhD '43",Mabel Lang PhD 1934 <br> Helen Taft Manning Award 1988,0,0,object,no,
161,,Wyndham Bench,Manning Award,"Ellen Fernon Reisner, MA '33","Ellen Fernon Reisner, MA '33 <br> Helen Taft Manning Award 1988",0,0,object,no,
162,,Tree,Manning Award,Susan Savage Speers '51,Susan Savage Speers '51 <br> Helen Taft Manning Award 1999,0,0,tree,no,
163,,Tree,Manning Award,Elizabeth G. Vermey '58,Elizabeth G. Vermey '58 <br> Helen Taft Manning Award 1999,0,0,tree,no,
164,,Tree,Manning Award,"Margaret H. Healy, PhD '69","Margaret H. Healy, PhD '69 <br> Helen Taft Manning Award 1997",0,0,tree,no,
